champ1,champ2,win,count
11,20,0.491017964,501
107,121,0.474654378,434
20,104,0.518957346,422
64,104,0.507575758,396
11,104,0.517060367,381
11,24,0.538057743,381
11,64,0.45480226,354
20,64,0.451704545,352
20,107,0.451219512,328
20,24,0.521126761,284
11,32,0.524647887,284
11,107,0.462897527,283
64,107,0.515151515,264
24,104,0.545454545,264
104,107,0.55952381,252
20,141,0.50617284,243
104,141,0.574380165,242
11,141,0.510373444,241
24,64,0.545064378,233
32,104,0.602620087,229
64,141,0.446902655,226
20,121,0.479452055,219
11,19,0.423076923,208
54,157,0.6,205
20,32,0.520833333,192
24,107,0.542105263,190
13,20,0.422459893,187
32,64,0.532258065,186
11,62,0.559782609,184
11,121,0.407821229,179
64,157,0.570621469,177
24,32,0.508571429,175
20,203,0.494252874,174
79,104,0.586206897,174
64,121,0.502890173,173
24,141,0.575581395,172
19,20,0.453488372,172
19,104,0.49112426,169
5,11,0.404761905,168
20,157,0.497005988,167
62,64,0.593939394,165
11,555,0.411042945,163
20,62,0.466257669,163
62,104,0.521472393,163
20,555,0.462962963,162
64,555,0.49689441,161
64,79,0.51875,160
104,121,0.509433962,159
11,79,0.471698113,159
14,20,0.503144654,159
107,141,0.512658228,158
11,203,0.416666667,156
9,11,0.559210526,152
20,145,0.5,152
19,64,0.456375839,149
104,555,0.513513514,148
20,31,0.445205479,146
104,203,0.517241379,145
20,120,0.493055556,144
20,254,0.468531469,143
11,77,0.471830986,142
62,157,0.542253521,142
32,107,0.605633803,142
104,157,0.539568345,139
32,141,0.561151079,139
5,104,0.5,136
64,203,0.477941176,136
20,79,0.544117647,136
104,254,0.540740741,135
11,36,0.548148148,135
11,28,0.470149254,134
11,157,0.476923077,130
11,78,0.553846154,130
57,104,0.596899225,129
11,57,0.573643411,129
11,86,0.511627907,129
11,120,0.5,128
11,35,0.496062992,127
11,17,0.456692913,127
20,59,0.349206349,126
11,59,0.46031746,126
11,84,0.373015873,126
11,31,0.56,125
78,104,0.528,125
11,56,0.471544715,123
11,254,0.487603306,121
35,104,0.495867769,121
121,141,0.508333333,120
9,104,0.541666667,120
59,64,0.43697479,119
20,28,0.470588235,119
28,104,0.495798319,119
54,104,0.584745763,118
62,107,0.474576271,118
11,23,0.423728814,118
64,254,0.483050847,118
35,64,0.440677966,118
11,54,0.461538462,117
5,20,0.444444444,117
31,104,0.478632479,117
64,84,0.418803419,117
36,104,0.572649573,117
20,29,0.534482759,116
17,20,0.456896552,116
62,141,0.460869565,115
11,33,0.5,114
86,122,0.469026549,113
20,77,0.460176991,113
24,121,0.4375,112
24,203,0.535714286,112
107,203,0.522522523,111
9,20,0.531531532,111
28,64,0.423423423,111
9,64,0.436363636,110
32,62,0.545454545,110
20,86,0.513761468,109
20,36,0.541284404,109
19,107,0.407407407,108
5,64,0.537037037,108
84,104,0.407407407,108
20,78,0.490740741,108
64,78,0.648148148,108
19,24,0.490740741,108
20,35,0.41509434,106
20,54,0.537735849,106
11,266,0.466666667,105
5,24,0.548076923,104
20,92,0.596153846,104
77,104,0.509803922,102
32,203,0.578431373,102
20,30,0.607843137,102
76,104,0.495049505,101
86,104,0.524752475,101
56,64,0.455445545,101
141,203,0.485148515,101
20,102,0.415841584,101
80,104,0.435643564,101
20,266,0.414141414,99
64,145,0.646464646,99
104,266,0.525252525,99
24,62,0.525252525,99
11,106,0.525252525,99
54,64,0.484848485,99
79,141,0.454545455,99
79,107,0.581632653,98
104,120,0.510204082,98
64,77,0.489795918,98
19,141,0.525773196,97
64,120,0.412371134,97
497,498,0.577319588,97
24,157,0.515463918,97
64,76,0.453608247,97
141,555,0.458333333,96
104,245,0.583333333,96
11,44,0.547368421,95
24,555,0.510638298,94
11,245,0.563829787,94
59,104,0.521276596,94
64,154,0.462365591,93
11,145,0.52173913,92
5,141,0.423913043,92
19,32,0.576086957,92
20,84,0.395604396,91
11,113,0.505494505,91
11,76,0.417582418,91
28,141,0.428571429,91
107,427,0.538461538,91
57,64,0.555555556,90
20,76,0.433333333,90
64,131,0.6,90
5,107,0.433333333,90
36,64,0.539325843,89
9,32,0.550561798,89
17,104,0.471910112,89
28,107,0.454545455,88
11,80,0.545454545,88
107,555,0.5,88
11,131,0.397727273,88
31,141,0.551724138,87
77,107,0.344827586,87
11,102,0.551724138,87
104,145,0.569767442,86
11,48,0.494117647,85
32,121,0.541176471,85
24,35,0.435294118,85
141,157,0.476190476,84
9,141,0.488095238,84
33,104,0.511904762,84
9,24,0.481927711,83
64,80,0.414634146,82
24,84,0.43902439,82
11,154,0.487804878,82
20,80,0.402439024,82
77,141,0.536585366,82
24,77,0.585365854,82
32,555,0.463414634,82
56,104,0.518518519,81
10,11,0.592592593,81
5,32,0.444444444,81
79,121,0.432098765,81
20,63,0.604938272,81
79,157,0.5,80
20,106,0.4625,80
11,111,0.4375,80
24,31,0.5,80
17,24,0.575,80
64,92,0.493670886,79
107,254,0.430379747,79
64,86,0.417721519,79
104,113,0.518987342,79
20,48,0.367088608,79
20,33,0.455696203,79
20,23,0.392405063,79
24,36,0.58974359,78
17,141,0.474358974,78
